actor_facebook_likes,actor_name
6,Jeffrey Frost
293,Noah Bean
288,Tatum O'Neal
35000,Bella Thorne
20,Rakie Ayola
767,Aidan Quinn
721,Michael Wincott
2,Artyom Bogucharskiy
722,T.J. Thyne
0,Renee Leblanc
135,William Ragsdale
102,Angela Featherstone
12,Dayna Devon
426,Dylan Walsh
356,Frank Vincent
1000,Josh Charles
0,Tobey Maguire
298,Michael J. Morris
341,George Hamilton
110,Luke Ford
838,Olivier Martinez
150,Veronika Vernadskaya
960,Laura Ramsey
931,Justin Chambers
1000,Jennifer Grey
135,Amber Rose Revah
61,John Gatins
232,Jean-Pierre Léaud
373,Hugh M. Hefner
9,Nataliya Vdovina
0,Eric Worre
784,Karen Allen
11,Marie-Anne Chazel
929,David Zayas
142,Brooklynn Proulx
904,Bart the Bear
384,Vanessa Angel
701,Herbert Russell
124,Ella Joyce
508,Richard Lawson
96,Dana Blackstone
118,Liane Balaban
417,Mark Feuerstein
165,Pat Hingle
73,Nicky Naudé
110,Jack Carson
0,Arik Ascherman
16,Jack McElhone
803,Teo Halm
372,Ricardo Chavira
78,Shidô Nakamura
113,Tovah Feldshuh
39,Gordon Currie
651,Reba McEntire
452,Wendie Malick
165,Christiana Leucas
120,Kathleen Kinmont
151,Emma Kenney
92,John Wood
711,Matthew Lawrence
131,Matt Keeslar
326,Adam Hicks
984,Randy Wayne
511,Tim Daly
346,Aasif Mandvi
7,Kevin McGowan
21,Walter Connolly
2,Dororthy Thorton
461,Will Estes
316,Lela Rochon
522,Johnny Messner
295,Robin Weigert
12,Christina Hart
190,Kiran Shah
934,Frankie Muniz
306,Patrick Gallagher
108,Derek Magyar
612,Gaby Hoffmann
397,Anupam Kher
3,Max Kerstein
503,Osama bin Laden
631,Alice Greczyn
467,Robert Townsend
576,David Lyons
571,Glen Powell
95,Susan Clark
399,Paul Adelstein
427,Dylan Moran
883,Albert Finney
35,John Henshaw
730,Al Leong
69,Kevork Malikyan
738,Callum Blue
342,Yayan Ruhian
66,Sharon Small
0,Iulia Ciochina
177,Jennie Jacques
801,Steve Guttenberg
216,Gregory Itzin
22,David Warbeck
170,Nina Hartley
377,Adam Copeland
46,Natalie Press
323,Rita Wilson
372,David Paymer
4,Tal Bachman
2000,Donny Boaz
1000,Britney Spears
221,Tom Goodman-Hill
433,Tom Everett Scott
300,Wade Williams
163,Jordan Trovillion
719,Jerry Stiller
614,Max Minghella
478,Dayo Okeniyi
960,Agnes Moorehead
224,Estelle Parsons
119,David Thornton
365,Riz Ahmed
135,James Le Gros
623,Caitlin Stasey
521,Tika Sumpter
88,Todd Louiso
46,Ryôko Hirosue
13000,Bill Murray
0,Mirlan Abdulayev
20,Catherine Parks
26,Andrew Bujalski
80,Tim Pigott-Smith
284,Ulrich Mühe
424,Oona Laurence
18,Peter Callan
717,Dichen Lachman
16000,Clint Eastwood
140,Seamus Davey-Fitzpatrick
304,Michael Stahl-David
399,Kenneth Mars
21,Ross Elliott
262,Richard Farnsworth
419,Tod Fennell
641,Sean Harris
843,Errol Flynn
476,Bob Dylan
160,Jane Wyman
528,Josie Loren
162,Gregory Sierra
467,Sharon Leal
767,Fred Williamson
6,Rumi Hiiragi
16,Stig Frode Henriksen
411,Jason Mantzoukas
518,Randy Couture
117,Tim DeZarn
82,Timothy West
202,Garrett Ryan
36,Bárbara Goenaga
183,Jorge Diaz
1000,Omar Sy
625,Tim Russ
0,Christian Kapper
793,Ally Sheedy
416,Sarah Drew
517,Nancy Allen
102,Adriano Giannini
658,Darryl Stephens
150,Jack McGraw
641,William Zabka
638,Rock Hudson
389,Magda Apanowicz
180,David White
433,Sally Kirkland
200,Glen Hansard
42,Stefanie Drummond
70,Gabriel Beristain
27,Matthew Gumley
376,Dennis Franz
1000,Alfie Allen
127,Nicky Katt
417,Kyla Pratt
596,Tim Blake Nelson
473,Cynthia Barrett
0,Pierre Prieur
242,L.Q. Jones
78,Claire Geare
