director_name,director_facebook_likes
Tarsem Singh,763
Claudia Sainte-Luce,0
Larry Charles,119
Miguel Sapochnik,238
Breck Eisner,42
Peter Kassovitz,0
Julio DePietro,0
Luc Besson,0
René Féret,0
Marc Schölermann,3
John Gatins,61
Michael Winnick,155
Vera Farmiga,0
Michael Mayer,15
Tyler Perry,0
Spencer Susser,58
Jay Duplass,157
David Kellogg,16
Rafa Lara,21
Rawson Marshall Thurber,86
F. Gary Gray,473
Robert Townsend,467
Tim Hunter,28
Howard Zieff,6
Darrell Roodt,36
Louis Leterrier,510
E.L. Katz,3
Nadia Tass,20
David Lam,4
Laurent Bouhnik,0
Alejandro G. Iñárritu,0
Paul Bolger,0
Andrew Bujalski,26
Mark Pellington,89
Clint Eastwood,16000
Alexandre Aja,192
Charles Matthau,139
Bruce Malmuth,6
Wallace Wolodarsky,32
Ari Kirschenbaum,0
Peter R. Hunt,13
Jon Kasdan,21
Baltasar Kormákur,175
Fritz Lang,756
Lance McDaniel,0
Robert Stevenson,55
Rob McKittrick,6
Mickey Liddell,7
John A. Davis,8
Jim Sheridan,260
Joshua Logan,32
Émile Gaudreault,9
Maurice Joyce,0
Marcus Nispel,158
Tim Blake Nelson,1192
John Maybury,11
Erik White,17
Lee Toland Krieger,43
Julian Schnabel,232
Terence Young,92
Paul Hunter,13
Hank Braxtan,6
Jeremy Leven,19
Paul Fox,3
Joseph Dorman,0
Mike Hodges,24
Michael Schultz,78
Albert Brooks,745
Nima Nourizadeh,166
Ang Lee,0
Justin Paul Miller,0
Niki Caro,51
Remo,168
Anna Muylaert,9
Barry W. Blaustein,6
Adam Carolla,102
Richard Donner,1006
Jeff Nichols,337
Benny Boom,23
Ricky Gervais,0
Blake Edwards,688
Kirk Jones,52
Vladlen Barbe,0
Patrick Creadon,3
Kari Skogland,13
Penelope Spheeris,122
Matt Maiellaro,8
Nick Tomnay,11
George Armitage,5
John Fortenberry,12
William Malone,37
Joel Zwick,38
Ralph Fiennes,0
Pierre Coffin,275
David Zucker,119
Kirk Loudon,0
Akiva Goldsman,167
Christine Jeffs,19
Joseph L. Mankiewicz,311
Kate Barker-Froyland,4
Gideon Raff,47
Fernando Meirelles,353
Stephen J. Anderson,15
Roger Nygard,3
Travis Cluff,3
Richard Glatzer,25
Tommy Oliver,66
Brian Dorton,171
Jason Naumann,2
Michael Cohn,2
Keith Parmer,2
Anurag Basu,116
David Atkins,8
Takeshi Kitano,0
Corey Yuen,23
Shana Feste,19
Tom Dey,9
Carl Rinsch,47
Jason Stone,28
Paul McGuigan,354
Jessie Nelson,24
Paul Fierlinger,3
Mervyn LeRoy,54
David Soren,13
Rod Lurie,37
Matt Bettinelli-Olpin,14
Asghar Farhadi,0
Stephen Hopkins,81
Stephen Langford,7
Edward Norton,0
Stephen Hillenburg,47
Mel Gibson,0
Jim Abrahams,104
Doug Atchison,3
James Cox,10
Martha Coolidge,57
Vincent Ward,25
Barry Levinson,272
Cédric Klapisch,82
Anna Mastro,7
Danny Provenzano,84
Charles Ferguson,117
Laurent Tirard,2
Rick Rosenthal,28
Goran Dukic,21
Robert Kenner,11
Pete Docter,0
Bruce Paltrow,28
Barry Cook,43
Justin Kerrigan,8
Christopher Smith,76
Udayan Prasad,4
Neema Barnette,21
Mark Andrews,56
Lluís Quílez,0
Justin Dillon,0
Simon Yin,0
Michael Tollin,19
Stuart Gillard,8
Sherman Alexie,18
Chris Nahon,20
Serdar Akar,11
Dan Harris,24
Kar-Wai Wong,0
Jim Chuchu,0
Robert B. Weide,53
Chris D'Arienzo,7
Chuck Russell,55
Ronny Yu,31
Jaume Collet-Serra,348
George Gallo,269
Rick de Oliveira,2
Siddharth Anand,5
Robert Sarkies,0
W.D. Hogan,4
DJ Pooh,69
Thaddeus O'Sullivan,5
Ron Maxwell,33
Dror Moreh,4
Daniel Taplitz,2
Dan Fogelman,102
Brenda Chapman,59
Andrei Tarkovsky,0
Michael Cuesta,52
Nick Cassavetes,415
Jirí Menzel,44
Rob Schmidt,36
John McTiernan,323
Jon Wright,4
Eugenio Derbez,399
Anthony Powell,9
Frank Coraci,306
Neill Dela Llana,0
Sara Sugarman,10
Corey Grant,21
Bigas Luna,163
James Frawley,21
Les Mayfield,10
Maria Maggenti,4
Steve Antin,59
Mark Dindal,10
Bo Zenga,10
Richard Kelly,219
Carol Reed,82
Bill Benenson,0
Heidi Ewing,4
Richard Kwietniowski,23
Nacho Vigalondo,76
Steven Soderbergh,0
Chao-Bin Su,2
Josef Rusnak,9
Lisa Cholodenko,450
Clive Barker,385
Katja von Garnier,18
David Leland,2
George Sidney,24
David Robert Mitchell,421
Ferzan Ozpetek,798
Vincenzo Natali,165
James Toback,56
Lena Dunham,969
Vic Sarin,24
Tobe Hooper,730
Alan Rudolph,18
Kelly Makin,6
James Ponsoldt,53
Mike McCoy,16
Katherine Brooks,57
Dario Argento,930
Kenneth Johnson,34
Mark Waters,70
Oliver Hirschbiegel,101
Carlos Saura,98
John Singleton,309
Dustin Hoffman,0
Rania Attieh,0
Thea Sharrock,17
Paolo Sorrentino,667
David Lowery,38
Beto Gómez,5
Erik Canuel,31
Ritesh Batra,25
Johanna Schwartz,0
Travis Romero,4
Frank Nissen,0
Mike Binder,57
Ed Decter,13
Larry Clark,184
Jonathan Newman,3
José Luis Valenzuela,0
Randall Rubin,0
Paul Mazursky,150
Aleksandr Veledinskiy,0
Chad Hartigan,3
Hugh Wilson,37
Adam Marcus,18
Sean McNamara,80
Warren P. Sonoda,28
Marco Kreuzpaintner,7
Simon West,165
Allison Burnett,12
David Twohy,123
Mike Bigelow,2
James Schamus,44
Stuart Hazeldine,17
Clay Kaytis,6
Tom Hooper,0
Sanaa Hamri,43
Sharron Miller,0
E. Elias Merhige,54
Kevin Spacey,18000
István Szabó,109
William Cottrell,0
Phil Morrison,17
Herbert Ross,142
Jay Russell,13
Dinesh D'Souza,67
Seth Gordon,91
Walter Murch,181
Gregory Nava,16
Donald Petrie,80
Eric Bress,19
John Stephenson,0
Collin Joseph Neal,14
James Mather,4
Lee Unkrich,125
Mike Mitchell,31
Bennett Miller,152
George Stevens,126
Katie Aselton,224
Danny Pang,15
Lukas Moodysson,187
James Algar,11
Lana Wachowski,0
Hans Petter Moland,19
David Hunt,0
Youssef Delara,8
Jon Lucas,48
Sean Byrne,18
Ron Howard,2000
Tony Gilroy,209
Matthew R. Anderson,252
Maksim Fadeev,0
Teddy Chan,3
Richard Benjamin,121
Stacy Peralta,147
Colin Higgins,19
Peter Cattaneo,22
John Carl Buechler,152
Matt Jackson,0
Sterling Van Wagenen,0
Jim Gillespie,13
Sam Firstenberg,44
Joachim Rønning,18
Harry Elfont,4
Robert M. Young,0
Jugal Hansraj,32
Antony Hoffman,14
Jack Conway,6
Jack Heller,0
Mike van Diem,4
J.S. Cardone,23
David Boyd,29
Eric Nicholas,0
Martin Lawrence,0
Jim Issa,5
David Ray,0
Theodore Witcher,28
Spike Lee,0
John Erick Dowdle,66
David Palmer,21
Nicholas Stoller,89
Jeremy Degruson,0
Michael Spierig,35
Richard LaGravenese,98
Robert Rodriguez,0
Lisanne Pajot,0
Henry Koster,28
Richard Shepard,47
Mikael Salomon,13
Joe Swanberg,217
John Bonito,8
Chia-Liang Liu,32
Billy Ray,53
Jonathan Demme,438
John H. Lee,32
Marcio Garcia,74
Cristian Mungiu,163
Denzel Washington,18000
Peter Ho-Sun Chan,31
David Gordon Green,234
Edward Burns,0
Hoyt Yeatman,12
Damien Chazelle,141
Ben Younger,46
Michael Pressman,34
Paul Abascal,2
David Anspaugh,25
Michael McGowan,12
John Lee Hancock,204
David Dobkin,71
Brandon Landers,8
Simon Wincer,23
Evan Goldberg,133
Louis C.K.,0
Terry Gilliam,0
John Michael McDonagh,51
Stanton Barrett,20
Brian Koppelman,34
Zach Cregger,138
Dan Mazer,11
Tim Fywell,3
Francis Ford Coppola,0
Gene Quintano,0
James Mangold,446
François Truffaut,0
Karey Kirkpatrick,11
Jamie Thraves,2
Michael Martin,0
Marc Levin,12
Zach Braff,0
Martyn Pick,4
Patrick Ryan Sims,0
Dan O'Bannon,456
Christopher Morris,69
Griffin Dunne,165
Douglas McGrath,41
Mary Pat Kelly,3
Tyler Oliver,0
Drew Goddard,246
Brian Percival,33
Nick Hamm,6
Roger Allers,28
Theodore Melfi,51
Andrucha Waddington,6
Michael McCullers,5
Ian Iqbal Rashid,8
Greg Harrison,7
Preston A. Whitmore II,17
Mark Mylod,20
Dexter Fletcher,904
Thorbjørn Christoffersen,0
Spike Jonze,0
Ed Harris,0
Julien Temple,67
Elia Kazan,603
Brian Baugh,3
David McNally,18
Clare Kilner,6
Benh Zeitlin,188
Brad Peyton,62
Tim Heidecker,78
David Lynch,0
Paul W.S. Anderson,545
Christian Carion,13
Oren Peli,110
Stuart Baird,53
Edward Zwick,760
Charles Stone III,30
Shari Springer Berman,30
Julian Jarrold,11
Peyton Reed,235
Geoff Murphy,14
Matt Piedmont,4
Tina Gordon Chism,24
Wilson Yip,25
Charles Herman-Wurmfeld,0
Je-kyu Kang,16
Ryan Coogler,0
Charles Binamé,2
Tom Brady,105
