facenumber_in_poster,content_rating,num_critic_for_reviews,movie_imdb_link,num_user_for_reviews,num_voted_users,imdb_score
5,,,http://www.imdb.com/title/tt1003002/?ref_=fn_tt_tt_1,,31,6.9
0,PG-13,97,http://www.imdb.com/title/tt0087985/?ref_=fn_tt_tt_1,383,41776,6.4
8,R,111,http://www.imdb.com/title/tt0087843/?ref_=fn_tt_tt_1,495,221000,8.4
2,R,81,http://www.imdb.com/title/tt0120906/?ref_=fn_tt_tt_1,151,12366,7
0,R,10,http://www.imdb.com/title/tt0110189/?ref_=fn_tt_tt_1,37,2129,4.6
0,G,44,http://www.imdb.com/title/tt0159421/?ref_=fn_tt_tt_1,37,2045,5.8
3,PG,109,http://www.imdb.com/title/tt0094721/?ref_=fn_tt_tt_1,306,189413,7.5
0,R,352,http://www.imdb.com/title/tt0407887/?ref_=fn_tt_tt_1,2054,873649,8.5
3,PG,15,http://www.imdb.com/title/tt0115725/?ref_=fn_tt_tt_1,30,5176,5.3
0,PG,469,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,1330,528369,6.8
2,R,21,http://www.imdb.com/title/tt0094764/?ref_=fn_tt_tt_1,43,4792,6.5
4,PG-13,448,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,484,370704,6.7
3,R,27,http://www.imdb.com/title/tt0242508/?ref_=fn_tt_tt_1,69,3754,4.9
0,PG-13,25,http://www.imdb.com/title/tt0785077/?ref_=fn_tt_tt_1,46,13815,2
0,,14,http://www.imdb.com/title/tt3110770/?ref_=fn_tt_tt_1,11,1351,6.1
1,PG-13,191,http://www.imdb.com/title/tt0974661/?ref_=fn_tt_tt_1,185,146899,6.4
2,R,143,http://www.imdb.com/title/tt0383222/?ref_=fn_tt_tt_1,471,30628,2.9
0,PG,151,http://www.imdb.com/title/tt1647668/?ref_=fn_tt_tt_1,96,35833,7
0,Not Rated,73,http://www.imdb.com/title/tt0055031/?ref_=fn_tt_tt_1,176,44457,8.3
0,R,350,http://www.imdb.com/title/tt1650554/?ref_=fn_tt_tt_1,378,202967,6.6
3,R,56,http://www.imdb.com/title/tt0120797/?ref_=fn_tt_tt_1,175,24826,6
1,,22,http://www.imdb.com/title/tt0129923/?ref_=fn_tt_tt_1,14,1135,6.8
1,PG-13,80,http://www.imdb.com/title/tt0108550/?ref_=fn_tt_tt_1,292,171882,7.8
1,R,127,http://www.imdb.com/title/tt0452625/?ref_=fn_tt_tt_1,150,74622,5.6
0,PG-13,115,http://www.imdb.com/title/tt0424205/?ref_=fn_tt_tt_1,147,21394,7.8
0,PG-13,203,http://www.imdb.com/title/tt0391198/?ref_=fn_tt_tt_1,911,115050,5.9
2,Unrated,45,http://www.imdb.com/title/tt0468442/?ref_=fn_tt_tt_1,16,695,7.5
0,R,95,http://www.imdb.com/title/tt0092796/?ref_=fn_tt_tt_1,118,15956,6
0,R,273,http://www.imdb.com/title/tt0329101/?ref_=fn_tt_tt_1,885,89101,5.8
1,R,125,http://www.imdb.com/title/tt0365885/?ref_=fn_tt_tt_1,219,19007,6.9
0,R,250,http://www.imdb.com/title/tt0462322/?ref_=fn_tt_tt_1,532,155496,7.6
0,R,45,http://www.imdb.com/title/tt0065528/?ref_=fn_tt_tt_1,124,17277,7.2
0,R,12,http://www.imdb.com/title/tt0102065/?ref_=fn_tt_tt_1,11,3571,5.1
0,PG-13,207,http://www.imdb.com/title/tt0296572/?ref_=fn_tt_tt_1,666,183909,6.7
3,R,285,http://www.imdb.com/title/tt0449467/?ref_=fn_tt_tt_1,908,243799,7.5
0,,1,http://www.imdb.com/title/tt0339921/?ref_=fn_tt_tt_1,5,98,5.7
1,,17,http://www.imdb.com/title/tt3202120/?ref_=fn_tt_tt_1,1,1673,6.1
0,R,75,http://www.imdb.com/title/tt0300214/?ref_=fn_tt_tt_1,111,6906,6.7
0,R,61,http://www.imdb.com/title/tt0456554/?ref_=fn_tt_tt_1,202,67853,7
4,PG-13,250,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,534,174578,5.8
1,R,72,http://www.imdb.com/title/tt1355631/?ref_=fn_tt_tt_1,29,2581,7.3
0,R,304,http://www.imdb.com/title/tt0389722/?ref_=fn_tt_tt_1,527,138435,6.6
3,Approved,24,http://www.imdb.com/title/tt0027438/?ref_=fn_tt_tt_1,52,3418,7.1
0,R,4,http://www.imdb.com/title/tt0464054/?ref_=fn_tt_tt_1,6,330,6.9
2,M,143,http://www.imdb.com/title/tt0064757/?ref_=fn_tt_tt_1,452,59941,6.8
1,R,132,http://www.imdb.com/title/tt0180073/?ref_=fn_tt_tt_1,314,44795,7.4
2,PG-13,34,http://www.imdb.com/title/tt0118055/?ref_=fn_tt_tt_1,54,11370,6.1
3,PG-13,144,http://www.imdb.com/title/tt0087182/?ref_=fn_tt_tt_1,569,97087,6.6
0,,18,http://www.imdb.com/title/tt4219836/?ref_=fn_tt_tt_1,2,260,7.1
2,R,39,http://www.imdb.com/title/tt3533916/?ref_=fn_tt_tt_1,29,4146,4.7
10,PG-13,168,http://www.imdb.com/title/tt2387559/?ref_=fn_tt_tt_1,95,59805,6.4
2,R,11,http://www.imdb.com/title/tt0083642/?ref_=fn_tt_tt_1,48,7748,5.8
0,R,126,http://www.imdb.com/title/tt2170299/?ref_=fn_tt_tt_1,119,38459,6.7
0,R,122,http://www.imdb.com/title/tt0219653/?ref_=fn_tt_tt_1,365,27378,4.9
1,R,79,http://www.imdb.com/title/tt0120749/?ref_=fn_tt_tt_1,254,108630,6.1
1,PG-13,73,http://www.imdb.com/title/tt0119528/?ref_=fn_tt_tt_1,243,220392,6.8
3,R,248,http://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1,1390,138863,5.5
0,PG-13,24,http://www.imdb.com/title/tt1002563/?ref_=fn_tt_tt_1,30,1449,5.4
3,,9,http://www.imdb.com/title/tt1922679/?ref_=fn_tt_tt_1,9,1370,5.5
0,PG,50,http://www.imdb.com/title/tt2247476/?ref_=fn_tt_tt_1,64,12596,6.7
3,PG,262,http://www.imdb.com/title/tt0486576/?ref_=fn_tt_tt_1,436,213275,5.6
2,R,35,http://www.imdb.com/title/tt1034302/?ref_=fn_tt_tt_1,27,3737,6
3,PG-13,20,http://www.imdb.com/title/tt0064782/?ref_=fn_tt_tt_1,106,9352,6.7
0,R,40,http://www.imdb.com/title/tt0096219/?ref_=fn_tt_tt_1,78,10073,7.3
0,R,155,http://www.imdb.com/title/tt0119094/?ref_=fn_tt_tt_1,535,283967,7.3
1,R,221,http://www.imdb.com/title/tt0780622/?ref_=fn_tt_tt_1,161,34556,5.4
0,R,393,http://www.imdb.com/title/tt1979320/?ref_=fn_tt_tt_1,475,312629,8.1
3,R,117,http://www.imdb.com/title/tt0379889/?ref_=fn_tt_tt_1,161,29715,7.1
0,,51,http://www.imdb.com/title/tt0843358/?ref_=fn_tt_tt_1,15,1272,6.9
1,PG,77,http://www.imdb.com/title/tt0087078/?ref_=fn_tt_tt_1,109,62009,5.8
0,R,62,http://www.imdb.com/title/tt0120710/?ref_=fn_tt_tt_1,148,11003,5.5
0,Not Rated,77,http://www.imdb.com/title/tt1258197/?ref_=fn_tt_tt_1,120,70076,6.9
2,R,62,http://www.imdb.com/title/tt1935902/?ref_=fn_tt_tt_1,39,11965,6.4
0,PG-13,274,http://www.imdb.com/title/tt0414993/?ref_=fn_tt_tt_1,915,190990,7.3
2,R,25,http://www.imdb.com/title/tt2628316/?ref_=fn_tt_tt_1,13,3740,5.4
0,PG-13,27,http://www.imdb.com/title/tt0117057/?ref_=fn_tt_tt_1,71,11453,6.5
2,PG-13,208,http://www.imdb.com/title/tt0790736/?ref_=fn_tt_tt_1,210,91640,5.6
0,R,411,http://www.imdb.com/title/tt1922777/?ref_=fn_tt_tt_1,524,155153,6.8
0,R,177,http://www.imdb.com/title/tt4438848/?ref_=fn_tt_tt_1,111,28041,6
0,,14,http://www.imdb.com/title/tt0972558/?ref_=fn_tt_tt_1,21,4387,5.3
0,PG-13,103,http://www.imdb.com/title/tt0372532/?ref_=fn_tt_tt_1,250,38248,6.1
1,PG-13,454,http://www.imdb.com/title/tt2084970/?ref_=fn_tt_tt_1,608,467613,8.1
3,R,73,http://www.imdb.com/title/tt0117665/?ref_=fn_tt_tt_1,259,154487,7.5
0,R,65,http://www.imdb.com/title/tt0134630/?ref_=fn_tt_tt_1,123,8217,6
0,Not Rated,35,http://www.imdb.com/title/tt0428303/?ref_=fn_tt_tt_1,35,589,6.3
3,R,50,http://www.imdb.com/title/tt0116277/?ref_=fn_tt_tt_1,89,38533,5.8
1,PG-13,330,http://www.imdb.com/title/tt0944835/?ref_=fn_tt_tt_1,514,245621,6.4
0,R,285,http://www.imdb.com/title/tt2403021/?ref_=fn_tt_tt_1,164,21468,5.4
0,PG,66,http://www.imdb.com/title/tt0089755/?ref_=fn_tt_tt_1,200,52339,7.2
3,R,23,http://www.imdb.com/title/tt1754264/?ref_=fn_tt_tt_1,30,13599,5.8
1,R,152,http://www.imdb.com/title/tt0468565/?ref_=fn_tt_tt_1,177,25063,7.3
0,R,9,http://www.imdb.com/title/tt0087428/?ref_=fn_tt_tt_1,61,6595,6
3,PG-13,27,http://www.imdb.com/title/tt0117119/?ref_=fn_tt_tt_1,71,12278,6.5
4,PG,41,http://www.imdb.com/title/tt0087451/?ref_=fn_tt_tt_1,56,7767,5.7
1,R,24,http://www.imdb.com/title/tt0327036/?ref_=fn_tt_tt_1,35,1466,5.4
2,R,57,http://www.imdb.com/title/tt0110322/?ref_=fn_tt_tt_1,329,112175,7.5
2,R,68,http://www.imdb.com/title/tt0104714/?ref_=fn_tt_tt_1,136,128010,6.7
0,PG-13,201,http://www.imdb.com/title/tt0454921/?ref_=fn_tt_tt_1,611,338383,8
1,PG,83,http://www.imdb.com/title/tt0940709/?ref_=fn_tt_tt_1,66,11391,6.5
0,G,256,http://www.imdb.com/title/tt0876563/?ref_=fn_tt_tt_1,144,85589,7.7
5,R,394,http://www.imdb.com/title/tt1506999/?ref_=fn_tt_tt_1,397,72646,5.8
4,PG-13,186,http://www.imdb.com/title/tt0240772/?ref_=fn_tt_tt_1,845,402645,7.8
2,PG-13,125,http://www.imdb.com/title/tt0349710/?ref_=fn_tt_tt_1,323,48753,6.5
0,PG-13,190,http://www.imdb.com/title/tt0368709/?ref_=fn_tt_tt_1,495,58658,6.4
1,R,167,http://www.imdb.com/title/tt0337876/?ref_=fn_tt_tt_1,361,29649,6.1
2,PG-13,162,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,221,121084,6.2
0,PG-13,60,http://www.imdb.com/title/tt0099371/?ref_=fn_tt_tt_1,97,60476,5.9
0,R,51,http://www.imdb.com/title/tt0436689/?ref_=fn_tt_tt_1,71,4067,6.6
19,PG-13,65,http://www.imdb.com/title/tt1532958/?ref_=fn_tt_tt_1,25,7894,5
0,Not Rated,50,http://www.imdb.com/title/tt1942884/?ref_=fn_tt_tt_1,23,16701,7.7
1,R,154,http://www.imdb.com/title/tt0133751/?ref_=fn_tt_tt_1,502,92074,6.4
0,PG,141,http://www.imdb.com/title/tt1985949/?ref_=fn_tt_tt_1,126,27130,6.3
0,G,66,http://www.imdb.com/title/tt0268397/?ref_=fn_tt_tt_1,118,23943,6
7,R,196,http://www.imdb.com/title/tt2170439/?ref_=fn_tt_tt_1,187,114294,6.3
0,PG-13,334,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,1912,383427,6.8
2,,5,http://www.imdb.com/title/tt0470869/?ref_=fn_tt_tt_1,24,1167,3.3
0,PG-13,211,http://www.imdb.com/title/tt2172934/?ref_=fn_tt_tt_1,211,69355,6.2
3,R,303,http://www.imdb.com/title/tt2557490/?ref_=fn_tt_tt_1,416,136093,6.1
0,R,112,http://www.imdb.com/title/tt0107254/?ref_=fn_tt_tt_1,317,19331,4.3
1,R,47,http://www.imdb.com/title/tt0110725/?ref_=fn_tt_tt_1,140,17997,4.4
2,Not Rated,280,http://www.imdb.com/title/tt2358891/?ref_=fn_tt_tt_1,124,55516,7.7
1,PG-13,57,http://www.imdb.com/title/tt0117218/?ref_=fn_tt_tt_1,99,86556,5.6
1,R,189,http://www.imdb.com/title/tt1152850/?ref_=fn_tt_tt_1,112,12241,7.1
2,R,21,http://www.imdb.com/title/tt0437954/?ref_=fn_tt_tt_1,28,6691,4.8
2,R,146,http://www.imdb.com/title/tt0238380/?ref_=fn_tt_tt_1,1137,261317,7.5
0,PG-13,154,http://www.imdb.com/title/tt0117060/?ref_=fn_tt_tt_1,378,300542,7.1
1,G,157,http://www.imdb.com/title/tt0031381/?ref_=fn_tt_tt_1,706,215340,8.2
