movie_title,title_year,genres
Jesus People,2007,Comedy
Jesus People,2007,Short
Red Dawn,1984,Action
Red Dawn,1984,Drama
Red Dawn,1984,War
Once Upon a Time in America,1984,Crime
Once Upon a Time in America,1984,Drama
Zero Effect,1998,Comedy
Zero Effect,1998,Crime
Zero Effect,1998,Drama
Zero Effect,1998,Mystery
Zero Effect,1998,Thriller
The Jerky Boys,1995,Comedy
The Jerky Boys,1995,Crime
The Adventures of Elmo in Grouchland,1999,Adventure
The Adventures of Elmo in Grouchland,1999,Comedy
The Adventures of Elmo in Grouchland,1999,Family
The Adventures of Elmo in Grouchland,1999,Fantasy
The Adventures of Elmo in Grouchland,1999,Musical
Beetlejuice,1988,Comedy
Beetlejuice,1988,Fantasy
The Departed,2006,Crime
The Departed,2006,Drama
The Departed,2006,Thriller
Bogus,1996,Comedy
Bogus,1996,Family
Bogus,1996,Fantasy
TRON: Legacy,2010,Action
TRON: Legacy,2010,Adventure
TRON: Legacy,2010,Sci-Fi
The Blood of Heroes,1989,Action
The Blood of Heroes,1989,Sci-Fi
The Blood of Heroes,1989,Sport
Pirates of the Caribbean: On Stranger Tides,2011,Action
Pirates of the Caribbean: On Stranger Tides,2011,Adventure
Pirates of the Caribbean: On Stranger Tides,2011,Fantasy
Harvard Man,2001,Comedy
Harvard Man,2001,Crime
Harvard Man,2001,Drama
Harvard Man,2001,Romance
Harvard Man,2001,Thriller
Who's Your Caddy?,2007,Comedy
Who's Your Caddy?,2007,Sport
Road Hard,2015,Comedy
17 Again,2009,Comedy
17 Again,2009,Drama
17 Again,2009,Family
17 Again,2009,Fantasy
17 Again,2009,Romance
BloodRayne,2005,Action
BloodRayne,2005,Adventure
BloodRayne,2005,Fantasy
BloodRayne,2005,Horror
Million Dollar Arm,2014,Biography
Million Dollar Arm,2014,Drama
Million Dollar Arm,2014,Sport
Judgment at Nuremberg,1961,Drama
Judgment at Nuremberg,1961,War
Kick-Ass 2,2013,Action
Kick-Ass 2,2013,Comedy
Kick-Ass 2,2013,Crime
Pushing Tin,1999,Comedy
Pushing Tin,1999,Drama
Pushing Tin,1999,Romance
The Chambermaid on the Titanic,1997,Drama
The Chambermaid on the Titanic,1997,Romance
What's Eating Gilbert Grape,1993,Drama
What's Eating Gilbert Grape,1993,Romance
Good Luck Chuck,2007,Comedy
Good Luck Chuck,2007,Romance
Joyeux Noel,2005,Drama
Joyeux Noel,2005,History
Joyeux Noel,2005,Music
Joyeux Noel,2005,Romance
Joyeux Noel,2005,War
The Grudge,2004,Horror
The Grudge,2004,Mystery
The Grudge,2004,Thriller
51 Birch Street,2005,Documentary
Creepshow 2,1987,Comedy
Creepshow 2,1987,Fantasy
Creepshow 2,1987,Horror
Creepshow 2,1987,Thriller
Freddy vs. Jason,2003,Action
Freddy vs. Jason,2003,Horror
Freddy vs. Jason,2003,Thriller
The Upside of Anger,2005,Comedy
The Upside of Anger,2005,Drama
Grindhouse,2007,Action
Grindhouse,2007,Horror
Grindhouse,2007,Thriller
Catch-22,1970,Comedy
Catch-22,1970,Drama
Catch-22,1970,War
House Party 2,1991,Comedy
House Party 2,1991,Drama
House Party 2,1991,Music
House Party 2,1991,Romance
The Chronicles of Riddick,2004,Action
The Chronicles of Riddick,2004,Adventure
The Chronicles of Riddick,2004,Sci-Fi
The Chronicles of Riddick,2004,Thriller
Babel,2006,Drama
The Work and the Story,2003,Comedy
Barbecue,2014,Comedy
Morvern Callar,2002,Drama
Grandma's Boy,2006,Comedy
G.I. Joe: The Rise of Cobra,2009,Action
G.I. Joe: The Rise of Cobra,2009,Adventure
G.I. Joe: The Rise of Cobra,2009,Sci-Fi
G.I. Joe: The Rise of Cobra,2009,Thriller
The Infiltrator,2016,Biography
The Infiltrator,2016,Crime
The Infiltrator,2016,Drama
The Infiltrator,2016,Thriller
30 Days of Night,2007,Horror
The Charge of the Light Brigade,1936,Action
The Charge of the Light Brigade,1936,Adventure
The Charge of the Light Brigade,1936,Romance
The Charge of the Light Brigade,1936,War
House at the End of the Drive,2014,Horror
House at the End of the Drive,2014,Thriller
On Her Majesty's Secret Service,1969,Action
On Her Majesty's Secret Service,1969,Adventure
On Her Majesty's Secret Service,1969,Thriller
Quills,2000,Biography
Quills,2000,Drama
Up Close & Personal,1996,Drama
Up Close & Personal,1996,Romance
Dune,1984,Action
Dune,1984,Adventure
Dune,1984,Sci-Fi
Top Spin,2014,Documentary
The Veil,2016,Horror
Delivery Man,2013,Comedy
Delivery Man,2013,Drama
The Best Little Whorehouse in Texas,1982,Comedy
The Best Little Whorehouse in Texas,1982,Musical
Bad Words,2013,Comedy
Bad Words,2013,Drama
Dracula 2000,2000,Action
Dracula 2000,2000,Fantasy
Dracula 2000,2000,Horror
Dracula 2000,2000,Thriller
Mercury Rising,1998,Action
Mercury Rising,1998,Crime
Mercury Rising,1998,Drama
Mercury Rising,1998,Thriller
Liar Liar,1997,Comedy
Liar Liar,1997,Fantasy
Liar Liar,1997,Romance
Alexander,2004,Action
Alexander,2004,Adventure
Alexander,2004,Biography
Alexander,2004,Drama
Alexander,2004,History
Alexander,2004,Romance
Alexander,2004,War
The Young Messiah,2016,Drama
Open Road,2013,Action
Open Road,2013,Drama
Open Road,2013,Thriller
When the Game Stands Tall,2014,Drama
When the Game Stands Tall,2014,Family
When the Game Stands Tall,2014,Sport
Fantastic 4: Rise of the Silver Surfer,2007,Action
Fantastic 4: Rise of the Silver Surfer,2007,Adventure
Fantastic 4: Rise of the Silver Surfer,2007,Sci-Fi
Fantastic 4: Rise of the Silver Surfer,2007,Thriller
The Cry of the Owl,2009,Drama
The Cry of the Owl,2009,Thriller
Paint Your Wagon,1969,Comedy
Paint Your Wagon,1969,Drama
Paint Your Wagon,1969,Musical
Paint Your Wagon,1969,Romance
Paint Your Wagon,1969,Western
Talk Radio,1988,Drama
Face/Off,1997,Action
Face/Off,1997,Crime
Face/Off,1997,Sci-Fi
Face/Off,1997,Thriller
Teeth,2007,Comedy
Teeth,2007,Fantasy
Teeth,2007,Horror
Teeth,2007,Thriller
Rush,2013,Action
Rush,2013,Biography
Rush,2013,Drama
Rush,2013,Sport
The Merchant of Venice,2004,Drama
The Merchant of Venice,2004,Romance
My Dog Tulip,2009,Animation
My Dog Tulip,2009,Drama
Conan the Destroyer,1984,Action
Conan the Destroyer,1984,Adventure
Conan the Destroyer,1984,Fantasy
In Dreams,1999,Drama
In Dreams,1999,Fantasy
In Dreams,1999,Thriller
Exam,2009,Mystery
Exam,2009,Thriller
The Brass Teapot,2012,Comedy
The Brass Teapot,2012,Fantasy
The Brass Teapot,2012,Thriller
The Fountain,2006,Drama
The Fountain,2006,Sci-Fi
Green Street 3: Never Back Down,2013,Action
Green Street 3: Never Back Down,2013,Drama
The Mirror Has Two Faces,1996,Comedy
The Mirror Has Two Faces,1996,Drama
The Mirror Has Two Faces,1996,Romance
R.I.P.D.,2013,Action
R.I.P.D.,2013,Comedy
R.I.P.D.,2013,Fantasy
Sinister,2012,Horror
Sinister,2012,Mystery
Neighbors 2: Sorority Rising,2016,Comedy
Obitaemyy ostrov,2009,Action
Obitaemyy ostrov,2009,Adventure
Obitaemyy ostrov,2009,Sci-Fi
The Wedding Date,2005,Comedy
The Wedding Date,2005,Romance
The Imitation Game,2014,Biography
The Imitation Game,2014,Drama
The Imitation Game,2014,Thriller
The Imitation Game,2014,War
Sleepers,1996,Crime
Sleepers,1996,Drama
Sleepers,1996,Thriller
Duets,2000,Comedy
Duets,2000,Drama
Duets,2000,Music
Cavite,2005,Thriller
The Fan,1996,Action
The Fan,1996,Drama
The Fan,1996,Sport
The Fan,1996,Thriller
Salt,2010,Action
Salt,2010,Crime
Salt,2010,Mystery
Salt,2010,Thriller
The Green Inferno,2013,Adventure
The Green Inferno,2013,Horror
Out of Africa,1985,Biography
Out of Africa,1985,Drama
Out of Africa,1985,Romance
Never Back Down 2: The Beatdown,2011,Action
Never Back Down 2: The Beatdown,2011,Drama
Never Back Down 2: The Beatdown,2011,Sport
Tsotsi,2005,Crime
Tsotsi,2005,Drama
The Hotel New Hampshire,1984,Comedy
The Hotel New Hampshire,1984,Drama
The Hotel New Hampshire,1984,Romance
My Fellow Americans,1996,Adventure
My Fellow Americans,1996,Comedy
The Ice Pirates,1984,Action
The Ice Pirates,1984,Adventure
The Ice Pirates,1984,Comedy
The Ice Pirates,1984,Romance
The Ice Pirates,1984,Sci-Fi
Martin Lawrence Live: Runteldat,2002,Biography
Martin Lawrence Live: Runteldat,2002,Comedy
Martin Lawrence Live: Runteldat,2002,Documentary
Legends of the Fall,1994,Drama
Legends of the Fall,1994,Romance
Legends of the Fall,1994,War
Legends of the Fall,1994,Western
Lethal Weapon 3,1992,Action
Lethal Weapon 3,1992,Crime
Lethal Weapon 3,1992,Thriller
The Pursuit of Happyness,2006,Biography
The Pursuit of Happyness,2006,Drama
CJ7,2008,Comedy
CJ7,2008,Family
CJ7,2008,Sci-Fi
Ponyo,2008,Adventure
Ponyo,2008,Animation
Ponyo,2008,Family
Ponyo,2008,Fantasy
Haywire,2011,Action
Haywire,2011,Thriller
Ocean's Eleven,2001,Crime
Ocean's Eleven,2001,Thriller
Ladder 49,2004,Action
Ladder 49,2004,Drama
Ladder 49,2004,Thriller
Elizabethtown,2005,Comedy
Elizabethtown,2005,Drama
Elizabethtown,2005,Romance
Birth,2004,Drama
Birth,2004,Mystery
Birth,2004,Romance
Birth,2004,Thriller
Rush Hour 3,2007,Action
Rush Hour 3,2007,Comedy
Rush Hour 3,2007,Crime
Rush Hour 3,2007,Thriller
Days of Thunder,1990,Action
Days of Thunder,1990,Drama
Days of Thunder,1990,Sport
The Puffy Chair,2005,Comedy
The Puffy Chair,2005,Drama
The Puffy Chair,2005,Romance
Battle of the Year,2013,Drama
Battle of the Year,2013,Music
Indie Game: The Movie,2012,Documentary
The Faculty,1998,Horror
The Faculty,1998,Mystery
The Faculty,1998,Sci-Fi
The Angry Birds Movie,2016,Action
The Angry Birds Movie,2016,Animation
The Angry Birds Movie,2016,Comedy
The Angry Birds Movie,2016,Family
Jimmy Neutron: Boy Genius,2001,Action
Jimmy Neutron: Boy Genius,2001,Adventure
Jimmy Neutron: Boy Genius,2001,Animation
Jimmy Neutron: Boy Genius,2001,Comedy
Jimmy Neutron: Boy Genius,2001,Family
Jimmy Neutron: Boy Genius,2001,Sci-Fi
Horrible Bosses 2,2014,Comedy
Horrible Bosses 2,2014,Crime
X-Men: The Last Stand,2006,Action
X-Men: The Last Stand,2006,Adventure
X-Men: The Last Stand,2006,Fantasy
X-Men: The Last Stand,2006,Sci-Fi
X-Men: The Last Stand,2006,Thriller
Neal 'N' Nikki,2005,Comedy
Neal 'N' Nikki,2005,Musical
Neal 'N' Nikki,2005,Romance
3 Days to Kill,2014,Action
3 Days to Kill,2014,Drama
3 Days to Kill,2014,Thriller
A Million Ways to Die in the West,2014,Comedy
A Million Ways to Die in the West,2014,Western
Jason Goes to Hell: The Final Friday,1993,Fantasy
Jason Goes to Hell: The Final Friday,1993,Horror
Jason Goes to Hell: The Final Friday,1993,Thriller
On Deadly Ground,1994,Action
On Deadly Ground,1994,Adventure
On Deadly Ground,1994,Thriller
The Great Beauty,2013,Drama
The Nutty Professor,1996,Comedy
The Nutty Professor,1996,Romance
The Nutty Professor,1996,Sci-Fi
Wendy and Lucy,2008,Drama
Virgin Territory,2007,Adventure
Virgin Territory,2007,Comedy
Virgin Territory,2007,History
Virgin Territory,2007,Romance
Equilibrium,2002,Action
Equilibrium,2002,Drama
Equilibrium,2002,Sci-Fi
Equilibrium,2002,Thriller
Mission: Impossible,1996,Action
Mission: Impossible,1996,Adventure
Mission: Impossible,1996,Thriller
Gone with the Wind,1939,Drama
Gone with the Wind,1939,History
Gone with the Wind,1939,Romance
Gone with the Wind,1939,War
Barbershop,2002,Comedy
Barbershop,2002,Drama
Mother and Child,2009,Drama
Mother and Child,2009,Romance
Secretary,2002,Comedy
Secretary,2002,Drama
Secretary,2002,Romance
TMNT,2007,Action
TMNT,2007,Adventure
TMNT,2007,Animation
TMNT,2007,Comedy
TMNT,2007,Family
TMNT,2007,Fantasy
TMNT,2007,Sci-Fi
The House Bunny,2008,Comedy
The House Bunny,2008,Romance
Playing for Keeps,2012,Comedy
Playing for Keeps,2012,Romance
Playing for Keeps,2012,Sport
Elysium,2013,Action
Elysium,2013,Drama
Elysium,2013,Sci-Fi
Elysium,2013,Thriller
Duplicity,2009,Comedy
Duplicity,2009,Crime
Duplicity,2009,Romance
Duplicity,2009,Thriller
Something's Gotta Give,2003,Comedy
Something's Gotta Give,2003,Drama
Something's Gotta Give,2003,Romance
The Business of Strangers,2001,Drama
The Business of Strangers,2001,Thriller
Airborne,1993,Adventure
Airborne,1993,Comedy
Airborne,1993,Sport
Center Stage,2000,Drama
Center Stage,2000,Music
Center Stage,2000,Romance
An American Haunting,2005,Horror
An American Haunting,2005,Mystery
