movie_title,title_year,is_color,aspect_ratio,duration_in_mins,language,country,budget,gross,movie_facebook_likes,cast_total_facebook_likes,movie_imdb_link,director_name,actor_1_name,actor_2_name,actor_3_name
Jesus People,2007,1,,35,English,USA,,,0,968,http://www.imdb.com/title/tt1003002/?ref_=fn_tt_tt_1,Jason Naumann,Victoria Jackson,Kate Flannery,Tim Bagley
Red Dawn,1984,1,1.85,114,English,USA,16900000,,0,3860,http://www.imdb.com/title/tt0087985/?ref_=fn_tt_tt_1,John Milius,Lea Thompson,Jennifer Grey,William Smith
Once Upon a Time in America,1984,1,1.85,251,English,Italy,30000000,5300000,12000,24719,http://www.imdb.com/title/tt0087843/?ref_=fn_tt_tt_1,Sergio Leone,Robert De Niro,Burt Young,Treat Williams
Zero Effect,1998,1,1.85,116,English,USA,5000000,1980338,507,1209,http://www.imdb.com/title/tt0120906/?ref_=fn_tt_tt_1,Jake Kasdan,Kim Dickens,Ryan O'Neal,Angela Featherstone
The Jerky Boys,1995,1,1.85,82,English,USA,,7557877,138,1002,http://www.imdb.com/title/tt0110189/?ref_=fn_tt_tt_1,James Melkonian,Vincent Pastore,William Hickey,Peter Appel
The Adventures of Elmo in Grouchland,1999,1,1.85,73,English,USA,17000000,11634458,339,2020,http://www.imdb.com/title/tt0159421/?ref_=fn_tt_tt_1,Gary Halvorson,Vanessa Williams,Kevin Clash,Caroll Spinney
Beetlejuice,1988,1,1.85,92,English,USA,15000000,73326666,15000,1953,http://www.imdb.com/title/tt0094721/?ref_=fn_tt_tt_1,Tim Burton,Catherine O'Hara,Jeffrey Jones,Glenn Shadix
The Departed,2006,1,2.35,151,English,USA,90000000,132373442,29000,45648,http://www.imdb.com/title/tt0407887/?ref_=fn_tt_tt_1,Martin Scorsese,Leonardo DiCaprio,Matt Damon,Ray Winstone
Bogus,1996,1,1.85,110,English,USA,30000000,4357000,350,3864,http://www.imdb.com/title/tt0115725/?ref_=fn_tt_tt_1,Norman Jewison,Haley Joel Osment,Nancy Travis,Andrea Martin
TRON: Legacy,2010,1,2.35,125,English,USA,170000000,172051787,60000,51099,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,Joseph Kosinski,Jeff Bridges,Olivia Wilde,James Frain
The Blood of Heroes,1989,1,1.33,90,English,Australia,10000000,882290,999,1526,http://www.imdb.com/title/tt0094764/?ref_=fn_tt_tt_1,David Webb Peoples,Delroy Lindo,Joan Chen,Anna Katarina
Pirates of the Caribbean: On Stranger Tides,2011,1,2.35,136,English,USA,250000000,241063875,58000,54083,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham
Harvard Man,2001,1,2.35,99,English,USA,5500000,56007,113,6776,http://www.imdb.com/title/tt0242508/?ref_=fn_tt_tt_1,James Toback,Sarah Michelle Gellar,Eric Stoltz,Joey Lauren Adams
