movie_title,title_year,plot_keywords
Jesus People,2007,mockumentary
Jesus People,2007,single camera
Jesus People,2007,subtle comedy
Red Dawn,1984,guerrilla
Red Dawn,1984,high school
Red Dawn,1984,invasion
Red Dawn,1984,soviet
Red Dawn,1984,wolverine
Once Upon a Time in America,1984,1920s
Once Upon a Time in America,1984,ambiguity
Once Upon a Time in America,1984,childhood friend
Once Upon a Time in America,1984,new york
Once Upon a Time in America,1984,speakeasy
Zero Effect,1998,blackmail
Zero Effect,1998,client
Zero Effect,1998,private detective
Zero Effect,1998,private investigator
Zero Effect,1998,tycoon
The Jerky Boys,1995,critically bashed
The Jerky Boys,1995,mafia
The Jerky Boys,1995,police
The Jerky Boys,1995,telephone
The Jerky Boys,1995,unemployment
The Adventures of Elmo in Grouchland,1999,based on tv series
The Adventures of Elmo in Grouchland,1999,blanket
The Adventures of Elmo in Grouchland,1999,box office flop
The Adventures of Elmo in Grouchland,1999,rescue
The Adventures of Elmo in Grouchland,1999,sesame street
Beetlejuice,1988,attic
Beetlejuice,1988,ghost
Beetlejuice,1988,surrealism
Beetlejuice,1988,teenage girl
Beetlejuice,1988,yuppie
The Departed,2006,boston
The Departed,2006,mole
The Departed,2006,police
The Departed,2006,undercover
The Departed,2006,undercover cop
Bogus,1996,box office flop
Bogus,1996,circus
Bogus,1996,imaginary friend
Bogus,1996,magician
Bogus,1996,one word title
TRON: Legacy,2010,arcade
TRON: Legacy,2010,bridge
TRON: Legacy,2010,disappearance
TRON: Legacy,2010,escape
TRON: Legacy,2010,warrior
The Blood of Heroes,1989,battle
The Blood of Heroes,1989,blood splatter
The Blood of Heroes,1989,combat
The Blood of Heroes,1989,game
The Blood of Heroes,1989,showdown
Pirates of the Caribbean: On Stranger Tides,2011,blackbeard
Pirates of the Caribbean: On Stranger Tides,2011,captain
Pirates of the Caribbean: On Stranger Tides,2011,pirate
Pirates of the Caribbean: On Stranger Tides,2011,revenge
Pirates of the Caribbean: On Stranger Tides,2011,soldier
Harvard Man,2001,basketball
Harvard Man,2001,cheerleader
Harvard Man,2001,college
Harvard Man,2001,harvard
Harvard Man,2001,philosophy
Who's Your Caddy?,2007,2000s
Who's Your Caddy?,2007,golf caddy
Who's Your Caddy?,2007,golf course
Who's Your Caddy?,2007,golfer
Who's Your Caddy?,2007,question mark in title
Road Hard,2015,girl in panties
Road Hard,2015,panties
Road Hard,2015,red panties
Road Hard,2015,stand up comedy
17 Again,2009,adult as child
17 Again,2009,father son relationship
17 Again,2009,high school student
17 Again,2009,janitor
17 Again,2009,school
BloodRayne,2005,escape
BloodRayne,2005,half human
BloodRayne,2005,king
BloodRayne,2005,vampire
BloodRayne,2005,vampire hunter
Million Dollar Arm,2014,baseball
Million Dollar Arm,2014,based on true story
Million Dollar Arm,2014,india
Million Dollar Arm,2014,sports agent
Million Dollar Arm,2014,training
Judgment at Nuremberg,1961,judge
Judgment at Nuremberg,1961,law
Judgment at Nuremberg,1961,nazi
Judgment at Nuremberg,1961,nuremberg
Judgment at Nuremberg,1961,war crime
Kick-Ass 2,2013,hit in the crotch
Kick-Ass 2,2013,kicked in the crotch
Kick-Ass 2,2013,punched in the crotch
Kick-Ass 2,2013,sparring
Kick-Ass 2,2013,superhero
Pushing Tin,1999,air traffic control
Pushing Tin,1999,air traffic controller
Pushing Tin,1999,female bodybuilder
Pushing Tin,1999,job
Pushing Tin,1999,marriage
The Chambermaid on the Titanic,1997,foundry
The Chambermaid on the Titanic,1997,foundry worker
The Chambermaid on the Titanic,1997,french
The Chambermaid on the Titanic,1997,friend
The Chambermaid on the Titanic,1997,titanic
What's Eating Gilbert Grape,1993,apostrophe in title
What's Eating Gilbert Grape,1993,face slap
What's Eating Gilbert Grape,1993,four word title
What's Eating Gilbert Grape,1993,grocery store
What's Eating Gilbert Grape,1993,police
Good Luck Chuck,2007,breasts
Good Luck Chuck,2007,leg spreading
Good Luck Chuck,2007,mini skirt
Good Luck Chuck,2007,sex
Good Luck Chuck,2007,sex in bed
Joyeux Noel,2005,christmas
Joyeux Noel,2005,no man's land
Joyeux Noel,2005,soldier
Joyeux Noel,2005,trench
Joyeux Noel,2005,world war one
The Grudge,2004,american
The Grudge,2004,curse
The Grudge,2004,japan
The Grudge,2004,nurse
The Grudge,2004,rage
51 Birch Street,2005,address as title
51 Birch Street,2005,number in title
51 Birch Street,2005,parents
Creepshow 2,1987,anthology
Creepshow 2,1987,hit and run
Creepshow 2,1987,hit by a car
Creepshow 2,1987,living statue
Creepshow 2,1987,melting woman
Freddy vs. Jason,2003,elm street
Freddy vs. Jason,2003,freddy krueger
Freddy vs. Jason,2003,jason voorhees
Freddy vs. Jason,2003,serial killer
Freddy vs. Jason,2003,slasher
The Upside of Anger,2005,anger
The Upside of Anger,2005,baseball
The Upside of Anger,2005,drinking
The Upside of Anger,2005,radio
The Upside of Anger,2005,secretary
Grindhouse,2007,anthropophagus
Grindhouse,2007,blood and gore
Grindhouse,2007,double feature
Grindhouse,2007,real twins playing twins
Grindhouse,2007,zombie
Catch-22,1970,catch 22
Catch-22,1970,friend
Catch-22,1970,insanity
Catch-22,1970,kneed in the groin
Catch-22,1970,military
House Party 2,1991,college
House Party 2,1991,misogyny
House Party 2,1991,money
House Party 2,1991,new friend
House Party 2,1991,party
The Chronicles of Riddick,2004,bounty hunter
The Chronicles of Riddick,2004,escape
The Chronicles of Riddick,2004,necromonger
The Chronicles of Riddick,2004,planet
The Chronicles of Riddick,2004,warrior
Babel,2006,american
Babel,2006,destiny
Babel,2006,mexican border
Babel,2006,multiple perspectives
Babel,2006,muslim
The Work and the Story,2003,latter day saints
The Work and the Story,2003,lds film
The Work and the Story,2003,mock documentary
The Work and the Story,2003,mormon
The Work and the Story,2003,mormonism
Morvern Callar,2002,breasts
Morvern Callar,2002,cleavage
Morvern Callar,2002,female rear nudity
Morvern Callar,2002,girl in panties
Morvern Callar,2002,public nudity
Grandma's Boy,2006,co worker
Grandma's Boy,2006,game tester
Grandma's Boy,2006,loss of virginity
Grandma's Boy,2006,roommate
Grandma's Boy,2006,snack
G.I. Joe: The Rise of Cobra,2009,cobra
G.I. Joe: The Rise of Cobra,2009,gi joe
G.I. Joe: The Rise of Cobra,2009,snake
G.I. Joe: The Rise of Cobra,2009,train
G.I. Joe: The Rise of Cobra,2009,warhead
30 Days of Night,2007,alaska
30 Days of Night,2007,small town
30 Days of Night,2007,snow
30 Days of Night,2007,vampire
30 Days of Night,2007,winter
The Charge of the Light Brigade,1936,attack
The Charge of the Light Brigade,1936,fort
The Charge of the Light Brigade,1936,india
The Charge of the Light Brigade,1936,lancer
The Charge of the Light Brigade,1936,massacre
House at the End of the Drive,2014,ghost story
House at the End of the Drive,2014,manson family
House at the End of the Drive,2014,paranormal
House at the End of the Drive,2014,real life event
House at the End of the Drive,2014,reference to sharon tate
On Her Majesty's Secret Service,1969,bond girl
On Her Majesty's Secret Service,1969,british
On Her Majesty's Secret Service,1969,mission
On Her Majesty's Secret Service,1969,portugal
On Her Majesty's Secret Service,1969,switzerland
Quills,2000,asylum
Quills,2000,lust
Quills,2000,male pubic hair
Quills,2000,penis
Quills,2000,pubic hair
Up Close & Personal,1996,journalism
Up Close & Personal,1996,news anchor
Up Close & Personal,1996,newscast
Up Close & Personal,1996,newscaster
Up Close & Personal,1996,tv journalism
Dune,1984,desert planet
Dune,1984,dune
Dune,1984,giant worm
Dune,1984,space travel
Dune,1984,spice
The Veil,2016,documentary crew
The Veil,2016,mass suicide
The Veil,2016,survivor
The Veil,2016,tied feet
The Veil,2016,tied up while barefoot
Delivery Man,2013,children
Delivery Man,2013,identity
Delivery Man,2013,lawsuit
Delivery Man,2013,lawyer
Delivery Man,2013,sperm donor
The Best Little Whorehouse in Texas,1982,chicken
The Best Little Whorehouse in Texas,1982,governor
The Best Little Whorehouse in Texas,1982,locker room
The Best Little Whorehouse in Texas,1982,sheriff
The Best Little Whorehouse in Texas,1982,texas
Bad Words,2013,directed by star
Bad Words,2013,indian american
Bad Words,2013,spelling
Bad Words,2013,spelling bee
Bad Words,2013,two word title
Dracula 2000,2000,dracula
Dracula 2000,2000,gothic
Dracula 2000,2000,painting
Dracula 2000,2000,rescue
Dracula 2000,2000,van helsing
Mercury Rising,1998,autistic child
Mercury Rising,1998,boy
Mercury Rising,1998,child in danger
Mercury Rising,1998,fbi
Mercury Rising,1998,nsa
Liar Liar,1997,birthday
Liar Liar,1997,birthday wish
Liar Liar,1997,father disappoints child
Liar Liar,1997,lie
Liar Liar,1997,workaholic
Alexander,2004,ancient greece
Alexander,2004,conquest
Alexander,2004,greek
Alexander,2004,greek myth
Alexander,2004,king
The Young Messiah,2016,based on novel
Open Road,2013,dealer
Open Road,2013,drugs
Open Road,2013,killer
Open Road,2013,police
When the Game Stands Tall,2014,coach
When the Game Stands Tall,2014,high school football
